maxeduc,valorjornal,fam_electricidad,fam_letrinas,riskmax,loutput,lseeds,lland,llabour,lfertilizer,lpesticide,ageold60,nooutinc,diste1,footaccess,caraccess,fullten,dum01,dum02,dum03,dum04,Participation
9,4,0.925,0.9375,0.0752819026829323,6.38687931936265,3.71600812150219,0.693147180559945,4.61512051684126,5.03695260241363,3.72930136861285,0,1,3.12718697166663,1,0,0,0,0,1,0,1
12,4,1,0.82234,0.163875039592634,6.90775527898214,4.24849524204936,0.693147180559945,4.12713438504509,4.95582705760126,4.15888308335967,1,0,3.71686090521328,0,1,1,0,0,1,0,1
9,5,0.93023,1,0.163875039592634,6.42971947803914,3.48124008933569,0,3.95124371858143,4.30406509320417,3.18841661738349,0,1,3.84595740966773,0,1,0,0,0,1,0,1
6,3.5,1,1,0.24881438289512,6.9177056098353,4.0517849478033,0.916290731874155,4.53259949315326,5.17614973257383,4.11087386417331,0,1,3.91674793328293,0,1,1,0,0,0,1,1
3,5,0.90747,0.84578,26.1322845346913,6.28226674689601,3.17805383034795,0.198850858745165,3.97029191355212,4.65396035015752,4.01818320125654,0,0,3.87768654821989,0,1,1,0,0,0,1,1
6,3.5,1,1,8.37897866331938,7.20637729147225,4.24849524204936,1.25276296849537,4.23410650459726,4.92725368515721,4.12713438504509,0,0,3.91674793328293,0,1,1,0,0,0,1,1
6,4,0.96203,0.94937,0.826898063360482,6.74758652682932,3.29583686600433,0.693147180559945,4.34380542185368,5.29831736654804,4.80811102998478,0,1,3.52945946984927,1,0,0,0,0,0,1,1
11,5,0.93023,1,0.163875039592634,7.66669020008009,3.76699723337789,0.693147180559945,4.46590811865458,5.07517381523383,4.78749174278205,0,1,3.84595740966773,1,0,1,0,0,1,0,0
5,4,0.96203,0.94937,0.822409686412378,7.64012317269536,4.40671924726425,0.810930216216329,4.00733318523247,5.52744298953979,5.51141058200874,0,1,3.52945946984927,1,0,0,0,0,0,1,1
12,5,1,1,0.147432281107416,6.52209279817015,4.40671924726425,0.72270598280149,4.00733318523247,4.64918707140487,4.01457959375324,0,1,2.75296615136586,0,1,0,1,0,0,0,1
8,5,0.78195,0.84962,0.826898063360482,6.02102334934953,3.46573590279973,1.38629436111989,4.29045944114839,4.64439089914137,3.25809653802148,1,1,0.772928253616882,0,1,1,1,0,0,0,1
15,5,0.78195,0.84962,0.826898063360482,6.26909628370626,4.30406509320417,1.38629436111989,3.78418963391826,6.72383244082121,5.01063529409626,0,1,0.772928253616882,0,1,1,1,0,0,0,1
12,4,1,1,0.458373039855854,6.62539236800796,3.3322045101752,0.22314355131421,4.14313472639153,4.22785512129627,0.693147180559945,1,0,1.89201814984271,1,0,1,1,0,0,0,0
6,3.5,1,1,0.826898063360482,7.24992553671799,2.484906649788,1.79175946922805,3.09104245335832,5.50533153593236,3.80666248977032,1,1,1.89201814984271,1,0,0,1,0,0,0,1
4,4,0.89868,0.82819,0.163875039592634,7.33888813383888,4.67282883446191,1.09861228866811,4.18965474202643,5.35185813347607,4.45434729625351,0,1,1.57931646636294,1,0,0,0,1,0,0,1
9,5,0.89868,0.82819,0.237147623523092,8.33567131479285,4.82671245593533,2.30258509299405,5.97635090929793,6.88755257166462,6.2431955552741,0,1,1.57931646636294,1,0,0,0,1,0,0,1
12,5,0.92308,0.76923,1.05181732310114,3.25809653802148,1.79175946922805,-1.38629436111989,2.70805020110221,3.70130197411249,3.41772668361337,0,0,1.43027586823015,1,0,1,1,0,0,0,1
9,4,0.89923,0.82908,0.163875039592634,6.12249280951439,3.13983261752775,0.693147180559945,3.40119738166216,5.17048399503815,3.71357206670431,0,0,0.811425898945203,0,1,0,0,1,0,0,1
9,4,1,1,0.147432281107416,6.85490287507791,4.75359019110636,1.41585316336144,4.39444915467244,5.90808293816893,5.25227342804663,0,1,1.89201814984271,0,1,1,1,0,0,0,1
9,5,1,1,0.258294354996737,6.65157187358973,4.0943445622221,1.09861228866811,4.74493212836325,4.9416424226093,3.91202300542815,1,0,1.89201814984271,0,1,1,1,0,0,0,1
9,4,1,1,0.152396220407276,6.24900952513952,3.43398720448515,0.207014169384326,2.94443897916644,4.36957442673464,3.87411343235493,0,1,1.89201814984271,0,1,1,1,0,0,0,1
